dc.identifier.uri	dc.source.uri	dc.creator	dc.relation
https://hdl.handle.net/10794/110	https://spraakbanken.gu.se/swe/resurs/bloggmixodat	n/a, n/a	
https://hdl.handle.net/10794/111	https://spraakbanken.gu.se/swe/resurs/kubhist-bollnastidning-1870	n/a, n/a	
https://hdl.handle.net/10794/112	https://spraakbanken.gu.se/swe/resurs/kubhist-bollnastidning-1880	n/a, n/a	
https://hdl.handle.net/10794/113	https://spraakbanken.gu.se/swe/resurs/bloggmix2016	n/a, n/a;n/a, n/a	
https://hdl.handle.net/10794/114	https://spraakbanken.gu.se/swe/resurs/bloggmix2017	n/a, n/a	
https://hdl.handle.net/10794/115	https://spraakbanken.gu.se/swe/resurs/romi	n/a, n/a	
https://hdl.handle.net/10794/116	https://spraakbanken.gu.se/swe/resurs/romii	n/a, n/a	
https://hdl.handle.net/10794/117	https://spraakbanken.gu.se/eng/resource/somali-cilmi	n/a, n/a	
https://hdl.handle.net/10794/118	https://spraakbanken.gu.se/eng/resource/somali-cb	n/a, n/a	
https://hdl.handle.net/10794/119		Dannélls, Dana;Olsson, Leif-Jöran	
https://hdl.handle.net/10794/120	https://spraakbanken.gu.se/en/resources/lasbart	n/a, n/a	
https://hdl.handle.net/10794/121		Ahrenberg, Lars;Frid, Johan;Olsson, Leif-Jöran	
https://hdl.handle.net/10794/122	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsweckoblad-1890	n/a, n/a	
https://hdl.handle.net/10794/123	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsweckoblad-1870	n/a, n/a	
https://hdl.handle.net/10794/124	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsweckoblad-1880	n/a, n/a	
https://hdl.handle.net/10794/125	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsposten-1850	n/a, n/a	
https://hdl.handle.net/10794/126	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsposten-1860	n/a, n/a	
https://hdl.handle.net/10794/127	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsposten-1870	n/a, n/a	
https://hdl.handle.net/10794/128	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsposten-1880	n/a, n/a	
https://hdl.handle.net/10794/129	https://spraakbanken.gu.se/en/resources/kubhist2-goteborgsposten-1890	n/a, n/a	
https://hdl.handle.net/10794/130	https://spraakbanken.gu.se/en/resources/coctaill	n/a, n/a	
https://hdl.handle.net/10794/131	https://spraakbanken.gu.se/en/resources/cor92	n/a, n/a	
https://hdl.handle.net/10794/132	https://spraakbanken.gu.se/en/resources/dagbladet1866-1886	n/a, n/a	
https://hdl.handle.net/10794/133	https://spraakbanken.gu.se/en/resources/dagbocker1700tal	n/a, n/a	
https://hdl.handle.net/10794/134	https://spraakbanken.gu.se/en/resources/dagbocker1800-1849	n/a, n/a	
https://hdl.handle.net/10794/135	https://spraakbanken.gu.se/en/resources/dagbocker1900-1949	n/a, n/a	
https://hdl.handle.net/10794/136	https://spraakbanken.gu.se/lb/resurser/meningsmangder/datasetDaLAJsplit.csv	n/a, n/a	
https://hdl.handle.net/10794/137	https://spraakbanken.gu.se/en/resources/dalin-then-swaanska-argus-1732-1734	n/a, n/a	
https://hdl.handle.net/10794/138	https://spraakbanken.gu.se/en/resources/da	n/a, n/a	
https://hdl.handle.net/10794/139	https://spraakbanken.gu.se/en/resources/diabetolog	n/a, n/a	
https://hdl.handle.net/10794/140	https://spraakbanken.gu.se/en/resources/dn1987	n/a, n/a	
https://hdl.handle.net/10794/141	https://spraakbanken.gu.se/en/resources/drama	n/a, n/a	
https://hdl.handle.net/10794/142	https://spraakbanken.gu.se/en/resources/dream-cr	n/a, n/a	
https://hdl.handle.net/10794/143	https://spraakbanken.gu.se/en/resources/dream	n/a, n/a	
https://hdl.handle.net/10794/144	https://spraakbanken.gu.se/en/resources/eddan	n/a, n/a	
https://hdl.handle.net/10794/145	https://spraakbanken.gu.se/en/resources/ekeblad	n/a, n/a	
https://hdl.handle.net/10794/146	https://spraakbanken.gu.se/en/resources/espc	n/a, n/a	
